Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,548.97",-21.29,-0.83,"6,500,806,040.00"
Sensitive Index,450.31,-5.64,-1.24,"5,962,170,000.00"
Float Index,174.99,-1.50,-0.85,"6,273,430,000.00"
Sensitive Float Index,146.46,-1.68,-1.13,"4,207,490,000.00"
Banking SubIndex,"1,763.50",-19.75,-1.11,"1,217,510,000.00"
Development Bank Index,"2,553.24",-19.92,-0.77,"1,140,890,000.00"
Finance Index,"1,159.81",-2.63,-0.23,"252,346,000.00"
Hotels And Tourism,"3,615.62",159.69,4.61,"88,999,800.00"
HydroPower Index,"2,294.96",-44.29,-1.89,"868,385,000.00"
Investment,103.72,1.19,1.16,"1,105,400,000.00"
Life Insurance,"17,039.47",-169.80,-0.99,"420,125,000.00"
Manufacturing And Processing,"5,533.98",-49.63,-0.89,"138,975,000.00"
Microfinance Index,"4,626.26",-47.54,-1.02,"1,059,350,000.00"
Mutual Fund,13.17,-0.10,-0.76,"20,138,600.00"
Non Life Insurance,"12,948.34",-54.15,-0.42,"1,314,940,000.00"
Others Index,"1,945.66",-37.22,-1.88,"1,277,060,000.00"
Trading Index,"4,611.39",174.88,3.94,"87,864,200.00"
