Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,004.39",72.28,3.74,"6,667,956,831.00"
Sensitive Index,382.77,12.10,3.26,"5,750,240,000.00"
Float Index,135.35,4.53,3.46,"6,579,610,000.00"
Sensitive Float Index,121.31,3.25,2.75,"4,637,430,000.00"
Banking SubIndex,"1,465.59",31.91,2.23,"1,577,960,000.00"
Development Bank Index,"2,186.35",43.25,2.02,"866,158,000.00"
Finance Index,896.52,20.65,2.36,"519,732,000.00"
Hotels And Tourism,"2,028.54",60.06,3.05,"26,366,800.00"
HydroPower Index,"1,743.63",98.47,5.99,"535,193,000.00"
Life Insurance,"12,264.69",698.81,6.04,"874,417,000.00"
Manufacturing And Processing,"4,636.60",224.77,5.09,"384,772,000.00"
Microfinance Index,"3,091.98",127.55,4.30,"628,364,000.00"
Mutual Fund,11.29,0.08,0.72,"7,691,920.00"
Non Life Insurance,"9,748.88",405.54,4.34,"1,548,610,000.00"
Others Index,"1,714.25",80.50,4.93,"1,530,610,000.00"
Trading Index,"2,122.68",130.90,6.57,"15,267,700.00"
