Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,946.58",-13.56,-0.46,"16,997,092,703.00"
Sensitive Index,525.28,-2.83,-0.54,"17,480,400,000.00"
Float Index,204.19,-1.03,-0.50,"16,843,100,000.00"
Sensitive Float Index,174.80,-1.28,-0.73,"12,665,300,000.00"
Banking SubIndex,"1,954.47",-11.38,-0.58,"2,588,330,000.00"
Development Bank Index,"4,593.83",-211.88,-4.41,"3,197,130,000.00"
Finance Index,"2,367.47",47.38,2.04,"2,024,940,000.00"
Hotels And Tourism,"3,562.65",-2.01,-0.06,"71,728,600.00"
HydroPower Index,"2,968.24",-15.91,-0.53,"3,724,940,000.00"
Investment,103.61,-1.02,-0.98,"587,586,000.00"
Life Insurance,"18,994.96",29.12,0.15,"1,137,020,000.00"
Manufacturing And Processing,"6,207.48",237.46,3.98,"738,914,000.00"
Microfinance Index,"5,386.80",-18.65,-0.34,"711,508,000.00"
Mutual Fund,15.60,0.00,0.03,"52,723,700.00"
Non Life Insurance,"15,245.84",39.00,0.26,"3,366,430,000.00"
Others Index,"2,294.79",-31.52,-1.36,"1,288,150,000.00"
Trading Index,"4,187.91",78.93,1.92,"49,019,500.00"
