Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,493.59",-33.33,-1.32,"6,927,668,931.00"
Sensitive Index,454.12,-9.31,-2.01,"7,065,710,000.00"
Float Index,170.66,-2.10,-1.22,"6,755,210,000.00"
Sensitive Float Index,146.57,-2.51,-1.68,"5,780,500,000.00"
Banking SubIndex,"1,787.78",-20.71,-1.15,"2,051,100,000.00"
Development Bank Index,"2,611.89",-10.70,-0.41,"1,262,100,000.00"
Finance Index,"1,173.16",-11.18,-0.94,"447,255,000.00"
Hotels And Tourism,"2,061.07",-25.72,-1.23,"20,874,200.00"
HydroPower Index,"1,899.42",-23.05,-1.20,"528,922,000.00"
Life Insurance,"18,061.88",-233.18,-1.27,"561,821,000.00"
Manufacturing And Processing,"5,772.54",-44.67,-0.77,"274,300,000.00"
Microfinance Index,"4,234.78",-78.80,-1.83,"1,028,970,000.00"
Mutual Fund,12.25,0.13,1.09,"36,844,200.00"
Non Life Insurance,"12,966.55",-77.35,-0.59,"1,735,280,000.00"
Others Index,"1,988.88",-45.29,-2.23,"638,564,000.00"
Trading Index,"2,883.38",-23.76,-0.82,"56,736,000.00"
