Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,431.52",-23.36,-1.61,"1,687,093,091.00"
Sensitive Index,300.49,-5.18,-1.70,"1,599,440,000.00"
Float Index,100.49,-1.71,-1.67,"1,658,320,000.00"
Sensitive Float Index,99.16,-1.75,-1.74,"1,381,610,000.00"
Banking SubIndex,"1,233.49",-21.76,-1.73,"519,466,000.00"
Development Bank Index,"1,806.10",-21.55,-1.18,"363,963,000.00"
Finance Index,665.91,-6.42,-0.95,"95,224,400.00"
Hotels And Tourism,"1,575.66",-59.50,-3.64,"8,062,650.00"
HydroPower Index,961.49,2.24,-0.23,"37,096,800.00"
Life Insurance,"8,561.14",-190.82,-2.18,"203,752,000.00"
Manufacturing And Processing,"2,755.85",-49.70,-1.77,"77,667,400.00"
Microfinance Index,"2,432.99",-55.69,-2.24,"359,225,000.00"
Mutual Fund,10.54,-0.16,-1.51,"3,076,570.00"
Non Life Insurance,"6,526.13",-159.87,-2.39,"343,106,000.00"
Others Index,805.84,-1.88,-0.23,"258,776,000.00"
Trading Index,846.83,-11.24,1.31,"5,654,180.00"
