Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,633.27",-10.66,-0.40,"8,924,065,888.66"
Sensitive Index,441.52,-2.07,-0.46,"2,016,290,070.90"
Float Index,177.70,-0.49,-0.27,"8,757,812,093.00"
Sensitive Float Index,147.52,-0.61,-0.41,"2,016,290,070.90"
Banking SubIndex,"1,331.22",-7.49,-0.55,"314,126,015.00"
Development Bank Index,"5,634.74",40.52,0.72,"1,044,766,487.40"
Finance Index,"2,527.16",84.52,3.46,"616,414,748.90"
Hotels And Tourism,"6,769.73",-35.14,-0.51,"56,530,544.10"
HydroPower Index,"3,739.53",12.82,0.34,"4,344,312,309.00"
Investment,102.99,-0.80,-0.77,"625,723,362.10"
Life Insurance,"12,848.62",-143.61,-1.10,"301,516,482.90"
Manufacturing And Processing,"7,009.75",46.95,0.67,"191,574,216.10"
Microfinance Index,"4,941.93",2.11,0.04,"581,401,705.30"
Mutual Fund,20.06,-0.12,-0.64,"21,791,417.07"
Non Life Insurance,"12,616.51",-85.57,-0.67,"169,640,211.30"
Others Index,"2,049.35",-34.77,-1.66,"562,580,526.60"
Trading Index,"4,346.04",-81.25,-1.83,"15,109,438.90"
