Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,255.80",-16.26,-1.28,"1,184,416,878.00"
Sensitive Index,271.79,-2.80,-1.02,"1,255,910,000.00"
Float Index,89.15,-1.22,-1.35,"1,156,460,000.00"
Sensitive Float Index,89.78,-1.01,-1.11,"1,082,270,000.00"
Banking SubIndex,"1,106.74",-15.81,-1.41,"536,673,000.00"
Development Bank Index,"1,720.65",-11.71,-0.68,"221,064,000.00"
Finance Index,642.83,-3.85,-0.60,"117,491,000.00"
Hotels And Tourism,"1,515.27",-19.16,-1.25,"4,133,720.00"
HydroPower Index,928.77,-7.46,-0.80,"41,233,700.00"
Life Insurance,"6,760.68",-137.06,-1.99,"168,915,000.00"
Manufacturing And Processing,"2,490.81",-25.20,-1.00,"59,958,000.00"
Microfinance Index,"2,047.65",-18.22,-0.88,"141,312,000.00"
Mutual Fund,9.68,-0.03,-0.31,"582,081.00"
Non Life Insurance,"5,193.17",-112.74,-2.12,"260,889,000.00"
Others Index,667.01,-4.54,-0.68,"37,199,400.00"
Trading Index,775.64,24.37,3.24,"3,438,280.00"
