Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,631.98",-15.08,-0.57,"7,575,206,278.35"
Sensitive Index,443.54,-1.93,-0.43,"4,160,368,960.70"
Float Index,177.39,-0.78,-0.44,"7,316,908,566.45"
Sensitive Float Index,149.59,-0.19,-0.13,"4,160,368,960.70"
Banking SubIndex,"1,313.45",-7.58,-0.57,"343,997,618.90"
Development Bank Index,"5,341.88",-48.65,-0.90,"470,525,544.90"
Finance Index,"2,427.95",-30.09,-1.22,"118,644,863.50"
Hotels And Tourism,"6,379.45",-40.74,-0.63,"35,718,098.90"
HydroPower Index,"3,485.34",-7.13,-0.20,"4,331,379,729.10"
Investment,114.52,-0.96,-0.83,"799,393,854.90"
Life Insurance,"13,035.63",-70.93,-0.54,"220,675,959.95"
Manufacturing And Processing,"7,170.20",-25.18,-0.34,"306,474,341.00"
Microfinance Index,"4,627.85",-36.43,-0.78,"218,025,651.40"
Mutual Fund,19.55,0.01,0.07,"15,868,737.70"
Non Life Insurance,"12,254.30",-39.97,-0.32,"105,284,312.90"
Others Index,"2,339.46",-17.73,-0.75,"344,493,729.70"
Trading Index,"4,512.75",-23.55,-0.51,"22,294,861.30"
