Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,085.30",6.22,0.29,"4,084,715,877.40"
Sensitive Index,372.02,1.95,0.52,"1,140,850,686.30"
Float Index,141.45,0.33,0.23,"4,001,965,258.60"
Sensitive Float Index,121.86,0.42,0.35,"1,136,102,690.00"
Banking SubIndex,"1,124.65",1.32,0.11,"161,661,879.20"
Development Bank Index,"4,074.63",23.18,0.57,"180,091,188.70"
Finance Index,"2,201.99",6.42,0.29,"509,013,779.50"
Hotels And Tourism,"5,325.82",5.34,0.10,"122,011,104.20"
HydroPower Index,"2,498.46",-15.47,-0.61,"893,665,503.80"
Investment,76.27,0.53,0.70,"428,049,864.70"
Life Insurance,"10,198.34",48.37,0.47,"125,160,233.90"
Manufacturing And Processing,"6,569.49",52.75,0.80,"179,881,494.50"
Microfinance Index,"4,553.95",66.43,1.48,"1,013,031,684.30"
Mutual Fund,18.75,-0.02,-0.11,"3,438,784.81"
Non Life Insurance,"10,634.54",59.64,0.56,"286,488,958.40"
Others Index,"1,641.82",-3.92,-0.23,"98,575,760.20"
Trading Index,"3,007.88",79.34,2.70,"29,872,721.50"
