Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,652.75",-12.35,-0.46,"7,529,290,146.00"
Sensitive Index,475.12,-2.69,-0.56,"7,510,300,000.00"
Float Index,182.71,-0.78,-0.42,"7,422,710,000.00"
Sensitive Float Index,153.98,-0.86,-0.56,"5,518,400,000.00"
Banking SubIndex,"1,784.24",-9.78,-0.55,"1,318,940,000.00"
Development Bank Index,"2,830.85",-33.68,-1.18,"1,801,270,000.00"
Finance Index,"1,246.08",-9.09,-0.72,"285,386,000.00"
Hotels And Tourism,"3,387.55",-12.42,-0.37,"46,796,000.00"
HydroPower Index,"2,581.09",-32.09,-1.23,"1,648,530,000.00"
Investment,98.66,0.49,0.50,"622,595,000.00"
Life Insurance,"17,469.44",-90.95,-0.52,"418,579,000.00"
Manufacturing And Processing,"5,824.38",-64.08,-1.09,"276,012,000.00"
Microfinance Index,"5,392.23",69.03,1.30,"1,737,550,000.00"
Mutual Fund,13.44,0.00,-0.03,"41,059,500.00"
Non Life Insurance,"13,287.49",-80.96,-0.61,"946,861,000.00"
Others Index,"2,108.97",-32.72,-1.53,"1,093,210,000.00"
Trading Index,"3,828.53",-15.08,-0.39,"30,359,500.00"
