Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,510.42",-0.15,-0.01,"2,634,886,231.00"
Sensitive Index,304.73,0.14,0.04,"2,317,200,000.00"
Float Index,104.71,-0.18,-0.17,"2,595,370,000.00"
Sensitive Float Index,100.00,-0.44,-0.44,"1,841,070,000.00"
Banking SubIndex,"1,234.80",-2.96,-0.24,"543,101,000.00"
Development Bank Index,"1,781.44",-4.71,-0.26,"257,000,000.00"
Finance Index,675.01,0.07,0.01,"95,778,100.00"
Hotels And Tourism,"1,544.36",31.74,2.10,"9,933,590.00"
HydroPower Index,"1,082.22",-24.98,-2.26,"350,835,000.00"
Life Insurance,"9,235.03",15.32,0.17,"303,892,000.00"
Manufacturing And Processing,"3,001.66",-35.94,-1.18,"97,775,900.00"
Microfinance Index,"2,508.30",7.46,0.30,"222,231,000.00"
Mutual Fund,10.84,0.06,0.53,"31,656,200.00"
Non Life Insurance,"7,470.28",67.34,0.91,"794,834,000.00"
Others Index,993.87,11.97,1.22,"522,147,000.00"
Trading Index,901.78,-9.71,-1.07,"562,240.00"
