Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,336.66",37.93,2.92,"1,199,041,859.00"
Sensitive Index,282.59,6.71,2.43,"1,208,330,000.00"
Float Index,93.60,2.52,2.77,"1,088,750,000.00"
Sensitive Float Index,92.63,2.26,2.50,"1,004,250,000.00"
Banking SubIndex,"1,135.64",25.83,2.33,"349,152,000.00"
Development Bank Index,"1,708.89",34.81,2.08,"221,727,000.00"
Finance Index,650.11,19.04,3.02,"98,051,700.00"
Hotels And Tourism,"1,557.84",127.10,8.88,"7,832,960.00"
HydroPower Index,960.92,26.49,2.83,"36,430,900.00"
Life Insurance,"7,999.33",198.38,2.54,"173,066,000.00"
Manufacturing And Processing,"2,697.89",41.83,1.57,"94,860,700.00"
Microfinance Index,"2,247.09",76.56,3.53,"186,976,000.00"
Mutual Fund,9.54,0.17,1.81,"615,007.00"
Non Life Insurance,"6,148.20",365.47,6.32,"336,244,000.00"
Others Index,751.84,27.05,3.73,"112,771,000.00"
Trading Index,863.46,34.61,4.18,"6,313,450.00"
