Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,565.16",3.21,0.12,"3,626,175,110.66"
Sensitive Index,444.37,-0.19,-0.04,"1,680,077,460.00"
Float Index,175.48,0.23,0.13,"3,582,574,911.80"
Sensitive Float Index,150.64,-0.16,-0.11,"1,680,077,460.00"
Banking SubIndex,"1,338.82",0.94,0.07,"323,201,487.00"
Development Bank Index,"5,285.28",-25.19,-0.47,"183,425,144.20"
Finance Index,"2,280.97",-13.34,-0.58,"79,596,859.80"
Hotels And Tourism,"6,288.13",-24.33,-0.38,"79,685,813.60"
HydroPower Index,"3,320.32",25.37,0.77,"1,855,018,074.50"
Investment,103.23,-0.30,-0.29,"355,640,412.10"
Life Insurance,"12,842.68",74.02,0.57,"126,542,091.20"
Manufacturing And Processing,"7,270.82",24.38,0.33,"223,850,703.70"
Microfinance Index,"4,836.35",-2.48,-0.05,"169,463,653.10"
Mutual Fund,20.00,0.04,0.24,"5,459,515.47"
Non Life Insurance,"10,681.28",53.63,0.50,"47,889,070.00"
Others Index,"2,333.07",-15.94,-0.67,"124,021,959.60"
Trading Index,"3,859.76",26.65,0.69,"14,239,643.00"
