Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,649.11",-12.53,-0.47,"10,202,701,343.99"
Sensitive Index,446.13,-2.75,-0.61,"5,349,566,799.80"
Float Index,179.21,-0.93,-0.51,"10,010,218,269.00"
Sensitive Float Index,151.17,-0.73,-0.48,"5,349,566,799.80"
Banking SubIndex,"1,316.24",-7.30,-0.55,"274,146,172.90"
Development Bank Index,"5,376.04",59.38,1.11,"541,645,378.90"
Finance Index,"2,458.54",-86.23,-3.38,"215,294,792.40"
Hotels And Tourism,"6,823.69",400.81,6.24,"439,795,877.90"
HydroPower Index,"3,588.99",-48.93,-1.34,"6,192,769,248.00"
Investment,112.14,-1.51,-1.33,"803,051,456.50"
Life Insurance,"13,325.50",15.07,0.11,"436,342,964.50"
Manufacturing And Processing,"7,184.09",-33.00,-0.45,"237,456,910.80"
Microfinance Index,"4,694.94",-11.05,-0.23,"307,340,153.10"
Mutual Fund,19.58,-0.06,-0.35,"17,499,611.90"
Non Life Insurance,"12,626.46",-18.66,-0.14,"209,093,990.70"
Others Index,"2,248.78",-34.20,-1.49,"336,285,534.50"
Trading Index,"4,500.00",16.30,0.36,"16,995,788.80"
