Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,284.23",20.85,1.65,"893,677,000.00"
Sensitive Index,278.97,4.69,1.71,"943,145,000.00"
Float Index,91.06,1.71,1.91,"893,677,000.00"
Sensitive Float Index,91.42,1.84,2.05,"788,444,000.00"
Banking SubIndex,"1,143.92",27.16,2.43,"382,533,000.00"
Development Bank Index,"1,739.42",35.42,2.08,"206,076,000.00"
Finance Index,638.46,20.13,3.26,"112,782,000.00"
Hotels And Tourism,"1,992.44",-3.53,-0.18,"9,898,840.00"
HydroPower Index,"1,027.34",4.28,0.42,"53,572,200.00"
Life Insurance,"6,458.18",81.06,1.27,"67,775,400.00"
Manufacturing And Processing,"2,412.50",-16.06,-0.66,"30,072,300.00"
Microfinance Index,"1,993.20",27.20,1.38,"159,115,000.00"
Mutual Fund,9.74,0.06,0.62,"2,342,060.00"
Non Life Insurance,"5,102.35",23.63,0.47,"117,051,000.00"
Others Index,686.60,-0.84,-0.12,"34,269,900.00"
Trading Index,839.79,63.47,8.18,"18,469,500.00"
