Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,631.17",-13.52,-0.51,"5,235,699,337.33"
Sensitive Index,450.96,-3.03,-0.66,"1,645,784,094.10"
Float Index,179.95,-1.01,-0.55,"5,204,981,201.80"
Sensitive Float Index,153.19,-1.04,-0.68,"1,645,784,094.10"
Banking SubIndex,"1,354.09",-9.87,-0.72,"304,792,486.70"
Development Bank Index,"5,413.62",-36.40,-0.66,"229,956,591.80"
Finance Index,"2,345.95",36.86,1.59,"396,992,687.40"
Hotels And Tourism,"7,045.25",38.04,0.54,"246,730,794.60"
HydroPower Index,"3,405.27",-17.12,-0.50,"2,274,601,007.90"
Investment,104.55,-0.54,-0.51,"139,746,638.70"
Life Insurance,"13,164.05",-157.96,-1.18,"296,619,557.30"
Manufacturing And Processing,"8,056.25",20.08,0.24,"349,280,553.10"
Microfinance Index,"4,975.17",-24.30,-0.48,"409,799,183.00"
Mutual Fund,20.17,0.08,0.44,"6,851,100.63"
Non Life Insurance,"10,974.64",-80.77,-0.73,"103,758,092.10"
Others Index,"2,358.72",-12.65,-0.53,"437,981,759.50"
Trading Index,"3,824.60",-9.07,-0.23,"14,721,849.70"
