Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,572.22",-75.79,-2.86,"7,284,194,901.00"
Sensitive Index,464.05,-12.56,-2.63,"6,330,480,000.00"
Float Index,177.72,-5.31,-2.90,"7,176,520,000.00"
Sensitive Float Index,151.03,-4.25,-2.73,"4,848,220,000.00"
Banking SubIndex,"1,776.30",-42.65,-2.34,"1,894,190,000.00"
Development Bank Index,"2,816.78",-86.34,-2.97,"1,269,240,000.00"
Finance Index,"1,242.10",-43.77,-3.40,"537,772,000.00"
Hotels And Tourism,"3,368.92",-220.27,-6.14,"123,056,000.00"
HydroPower Index,"2,460.56",-112.41,-4.37,"1,022,450,000.00"
Investment,96.07,-3.35,-3.37,"728,306,000.00"
Life Insurance,"16,729.65",-460.04,-2.68,"756,333,000.00"
Manufacturing And Processing,"5,413.16",-136.21,-2.45,"156,818,000.00"
Microfinance Index,"5,095.08",-160.65,-3.06,"1,082,210,000.00"
Mutual Fund,13.32,-0.09,-0.07,"23,084,100.00"
Non Life Insurance,"12,743.05",-440.87,-3.34,"972,690,000.00"
Others Index,"1,963.37",-47.14,-2.34,"1,070,590,000.00"
Trading Index,"3,553.72",-113.55,-3.10,"45,859,400.00"
