Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,484.99",22.31,1.53,"3,462,586,125.00"
Sensitive Index,298.35,2.05,0.69,"3,367,740,000.00"
Float Index,103.17,1.21,1.19,"3,372,600,000.00"
Sensitive Float Index,98.44,0.61,0.63,"2,695,330,000.00"
Banking SubIndex,"1,217.97",4.95,0.41,"617,248,000.00"
Development Bank Index,"1,759.70",1.50,0.09,"359,174,000.00"
Finance Index,667.19,1.10,0.17,"168,542,000.00"
Hotels And Tourism,"1,511.60",-0.77,-0.05,"6,180,500.00"
HydroPower Index,"1,012.98",33.61,3.43,"187,423,000.00"
Life Insurance,"9,308.39",260.33,2.88,"629,281,000.00"
Manufacturing And Processing,"3,006.18",88.71,3.04,"310,785,000.00"
Microfinance Index,"2,483.56",8.58,0.35,"322,736,000.00"
Mutual Fund,10.70,0.08,0.74,"5,921,130.00"
Non Life Insurance,"7,528.83",233.70,3.20,"1,486,360,000.00"
Others Index,944.78,37.40,4.12,"378,915,000.00"
Trading Index,895.66,18.05,2.06,"3,937,190.00"
