Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,661.93",-37.58,-1.39,"6,766,801,224.00"
Sensitive Index,479.10,-7.06,-1.45,"6,362,820,000.00"
Float Index,184.14,-2.50,-1.34,"6,645,590,000.00"
Sensitive Float Index,156.58,-2.43,-1.53,"4,868,910,000.00"
Banking SubIndex,"1,836.02",-34.85,-1.86,"1,891,610,000.00"
Development Bank Index,"2,876.14",-56.80,-1.94,"1,256,290,000.00"
Finance Index,"1,300.34",6.17,0.48,"865,195,000.00"
Hotels And Tourism,"3,664.91",-240.83,-6.17,"231,247,000.00"
HydroPower Index,"2,566.17",3.18,0.12,"862,225,000.00"
Investment,101.74,-0.58,-0.57,"835,909,000.00"
Life Insurance,"17,166.72",-129.77,-0.75,"271,887,000.00"
Manufacturing And Processing,"5,578.62",-41.70,-0.74,"99,128,100.00"
Microfinance Index,"5,253.41",-62.70,-1.18,"1,060,090,000.00"
Mutual Fund,13.50,-0.09,-0.65,"29,586,500.00"
Non Life Insurance,"13,246.58",-239.13,-1.77,"661,845,000.00"
Others Index,"2,004.50",-26.72,-1.32,"1,173,480,000.00"
Trading Index,"3,606.98",-107.90,-2.90,"35,950,700.00"
