Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,306.15",5.53,0.43,"1,400,467,805.00"
Sensitive Index,278.67,-0.48,-0.17,"1,490,590,000.00"
Float Index,92.61,0.37,0.40,"1,373,850,000.00"
Sensitive Float Index,91.83,-0.04,-0.04,"1,271,750,000.00"
Banking SubIndex,"1,138.62",-1.12,-0.10,"372,122,000.00"
Development Bank Index,"1,770.26",0.11,0.01,"325,212,000.00"
Finance Index,657.93,0.57,0.09,"118,632,000.00"
Hotels And Tourism,"2,002.08",-39.42,-1.93,"2,741,840.00"
HydroPower Index,998.70,-8.20,-0.81,"29,039,700.00"
Life Insurance,"7,422.77",159.28,2.19,"281,422,000.00"
Manufacturing And Processing,"2,469.18",4.43,0.18,"43,101,100.00"
Microfinance Index,"2,098.01",42.57,2.07,"322,231,000.00"
Mutual Fund,10.26,0.10,0.98,"3,592,120.00"
Non Life Insurance,"5,579.62",141.33,2.60,"494,600,000.00"
Others Index,674.53,4.04,0.60,"50,274,400.00"
Trading Index,785.54,-23.55,-2.91,"5,996,090.00"
