Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,977.02",1.18,0.04,"9,351,799,655.00"
Sensitive Index,550.69,0.17,0.03,"9,824,610,000.00"
Float Index,208.46,-0.02,-0.01,"9,227,410,000.00"
Sensitive Float Index,185.61,-0.11,-0.06,"7,033,280,000.00"
Banking SubIndex,"1,980.08",7.89,0.40,"1,706,620,000.00"
Development Bank Index,"5,660.82",-40.14,-0.70,"1,988,590,000.00"
Finance Index,"3,100.89",-89.82,-2.75,"1,203,450,000.00"
Hotels And Tourism,"3,598.35",130.43,3.76,"89,258,600.00"
HydroPower Index,"3,448.15",-19.96,-0.58,"2,643,810,000.00"
Investment,106.03,0.01,0.01,"320,625,000.00"
Life Insurance,"16,898.23",74.59,0.44,"411,168,000.00"
Manufacturing And Processing,"6,878.65",-2.42,-0.04,"320,938,000.00"
Microfinance Index,"5,643.74",-5.94,-0.11,"948,633,000.00"
Mutual Fund,16.34,-0.06,-0.38,"55,643,500.00"
Non Life Insurance,"13,731.76",-63.59,-0.46,"776,652,000.00"
Others Index,"1,912.64",-1.44,-0.08,"500,866,000.00"
Trading Index,"3,583.45",-7.34,-0.20,"15,474,400.00"
