Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,152.14",15.79,0.73,"5,535,958,885.30"
Sensitive Index,380.96,3.50,0.92,"1,740,424,863.70"
Float Index,146.29,1.11,0.76,"5,336,520,355.10"
Sensitive Float Index,125.79,1.33,1.06,"1,737,222,979.20"
Banking SubIndex,"1,147.26",6.08,0.53,"312,088,175.30"
Development Bank Index,"4,470.62",108.99,2.49,"755,029,773.50"
Finance Index,"2,544.46",-3.94,-0.15,"734,152,770.60"
Hotels And Tourism,"5,513.94",-15.81,-0.28,"96,392,316.40"
HydroPower Index,"2,609.16",13.55,0.52,"1,032,626,787.00"
Investment,80.20,0.28,0.36,"439,782,963.70"
Life Insurance,"10,329.35",27.54,0.26,"226,792,145.30"
Manufacturing And Processing,"6,500.87",-35.48,-0.54,"111,917,943.40"
Microfinance Index,"4,799.21",142.69,3.06,"1,194,827,432.60"
Mutual Fund,19.28,0.00,0.00,"5,730,376.91"
Non Life Insurance,"10,889.15",48.68,0.44,"219,495,379.50"
Others Index,"1,648.23",10.87,0.66,"195,425,896.00"
Trading Index,"3,008.39",-9.55,-0.31,"37,074,223.00"
