Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,508.90",-37.18,-1.46,"3,128,341,700.27"
Sensitive Index,474.13,-6.85,-1.42,"3,225,830,000.00"
Float Index,172.54,-2.51,-1.43,"3,052,430,000.00"
Sensitive Float Index,152.81,-2.18,-1.41,"2,186,540,000.00"
Banking SubIndex,"1,703.97",-13.55,-0.79,"559,653,069.80"
Development Bank Index,"4,569.14",-140.95,-2.99,"426,819,692.70"
Finance Index,"2,245.93",-90.80,-3.89,"316,221,107.70"
Hotels And Tourism,"3,008.06",-49.41,-1.62,"12,187,123.90"
HydroPower Index,"2,868.61",-74.69,-2.54,"809,620,741.20"
Investment,78.10,-0.75,-0.94,"176,023,205.10"
Life Insurance,"13,417.07",-73.94,-0.55,"135,558,383.90"
Manufacturing And Processing,"5,861.62",-92.03,-1.55,"91,815,289.00"
Microfinance Index,"4,851.51",-72.56,-1.47,"278,429,576.70"
Mutual Fund,15.04,0.12,0.82,"47,863,864.55"
Non Life Insurance,"11,122.73",-160.98,-1.43,"104,174,931.10"
Others Index,"1,932.76",-56.44,-2.84,"132,495,871.20"
Trading Index,"2,658.27",21.53,0.82,"9,434,977.20"
