Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,587.45",-69.51,-2.62,"2,966,899,791.00"
Sensitive Index,484.93,-12.43,-2.50,"2,960,660,000.00"
Float Index,181.84,-5.00,-2.68,"2,900,880,000.00"
Sensitive Float Index,163.98,-4.42,-2.63,"2,184,030,000.00"
Banking SubIndex,"1,824.06",-38.13,-2.05,"800,326,000.00"
Development Bank Index,"4,691.35",-166.95,-3.44,"691,161,000.00"
Finance Index,"2,203.78",-97.98,-4.26,"243,613,000.00"
Hotels And Tourism,"3,015.80",-87.98,-2.83,"14,794,200.00"
HydroPower Index,"2,639.79",-102.42,-3.74,"600,475,000.00"
Investment,84.34,-2.18,-2.52,"107,371,000.00"
Life Insurance,"14,685.96",-358.01,-2.38,"141,928,000.00"
Manufacturing And Processing,"6,140.22",-176.96,-2.80,"124,903,000.00"
Microfinance Index,"5,114.76",-184.98,-3.49,"430,063,000.00"
Mutual Fund,14.98,-0.20,-1.33,"51,899,800.00"
Non Life Insurance,"11,572.89",-427.07,-3.56,"253,226,000.00"
Others Index,"1,660.78",-33.62,-1.98,"143,134,000.00"
Trading Index,"3,039.09",18.94,0.63,"24,393,100.00"
