Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,834.13",49.19,1.77,"6,724,526,197.50"
Sensitive Index,528.87,6.34,1.21,"4,333,480,000.00"
Float Index,194.74,3.62,1.90,"4,350,880,000.00"
Sensitive Float Index,171.91,2.24,1.32,"3,088,400,000.00"
Banking SubIndex,"1,855.68",3.64,0.20,"756,227,563.90"
Development Bank Index,"5,150.15",171.25,3.44,"664,474,668.30"
Finance Index,"2,583.95",149.73,6.15,"738,950,077.60"
Hotels And Tourism,"3,269.19",107.34,3.39,"63,646,706.00"
HydroPower Index,"3,241.49",65.88,2.07,"1,455,131,546.50"
Investment,90.08,1.93,2.19,"286,356,945.50"
Life Insurance,"15,978.16",597.71,3.89,"666,009,270.10"
Manufacturing And Processing,"7,157.37",-31.23,-0.43,"225,226,606.10"
Microfinance Index,"5,501.52",206.75,3.90,"839,417,965.50"
Mutual Fund,15.79,0.09,0.57,"14,504,205.21"
Non Life Insurance,"13,046.37",336.29,2.65,"691,478,653.00"
Others Index,"2,213.13",27.83,1.27,"254,175,646.80"
Trading Index,"3,085.23",40.29,1.32,"22,526,657.20"
