Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,731.78",-3.22,-0.12,"3,789,709,331.00"
Sensitive Index,515.64,0.45,0.09,"3,632,230,000.00"
Float Index,188.35,-0.20,-0.11,"3,688,880,000.00"
Sensitive Float Index,167.76,-0.13,-0.08,"2,618,580,000.00"
Banking SubIndex,"1,813.79",9.77,0.54,"843,687,589.50"
Development Bank Index,"5,230.87",-70.87,-1.34,"514,737,431.10"
Finance Index,"2,554.82",-2.03,-0.08,"253,885,806.40"
Hotels And Tourism,"3,402.69",25.66,0.76,"112,442,790.20"
HydroPower Index,"3,137.75",-27.48,-0.87,"693,928,359.20"
Investment,86.28,-0.49,-0.56,"152,817,099.50"
Life Insurance,"14,696.95",-23.26,-0.16,"211,274,971.60"
Manufacturing And Processing,"6,421.67",-29.10,-0.45,"40,817,974.00"
Microfinance Index,"5,269.94",-51.41,-0.97,"406,443,546.80"
Mutual Fund,15.51,0.00,0.02,"16,460,052.70"
Non Life Insurance,"12,128.42",-156.84,-1.28,"124,026,821.20"
Others Index,"2,156.70",19.51,0.91,"124,026,821.20"
Trading Index,"2,962.73",-43.16,-1.44,"7,643,901.90"
