Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,596.13",50.94,3.30,"4,154,883,092.00"
Sensitive Index,336.05,9.49,2.91,"4,588,530,000.00"
Float Index,112.70,3.41,3.12,"4,075,570,000.00"
Sensitive Float Index,111.31,2.94,2.71,"3,728,810,000.00"
Banking SubIndex,"1,356.86",50.47,3.86,"1,278,650,000.00"
Development Bank Index,"2,025.05",30.66,1.54,"757,279,000.00"
Finance Index,721.18,6.53,0.91,"278,956,000.00"
Hotels And Tourism,"2,035.40",73.88,3.77,"57,902,600.00"
HydroPower Index,"1,123.80",5.19,0.46,"209,270,000.00"
Life Insurance,"9,905.94",571.18,6.12,"667,014,000.00"
Manufacturing And Processing,"3,226.71",142.80,4.63,"362,439,000.00"
Microfinance Index,"2,803.65",27.15,0.98,"529,903,000.00"
Mutual Fund,10.93,0.34,3.21,"8,288,030.00"
Non Life Insurance,"7,568.55",233.50,3.18,"1,222,430,000.00"
Others Index,821.95,21.49,2.68,"160,203,000.00"
Trading Index,992.22,0.95,0.10,"10,168,900.00"
