Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,873.11",14.22,0.77,"930,839,901.14"
Sensitive Index,366.65,2.68,0.74,"394,783,220.30"
Float Index,131.28,0.83,0.64,"895,448,013.40"
Sensitive Float Index,120.23,0.74,0.62,"393,965,133.30"
Banking SubIndex,"1,272.11",6.87,0.54,"207,463,894.20"
Development Bank Index,"3,298.29",8.30,0.25,"66,088,141.70"
Finance Index,"1,495.87",6.31,0.42,"34,804,410.20"
Hotels And Tourism,"2,752.89",64.51,2.40,"17,761,542.50"
HydroPower Index,"1,963.84",14.85,0.76,"171,514,983.10"
Investment,55.39,0.11,0.20,"18,613,106.20"
Life Insurance,"9,136.83",83.85,0.93,"44,797,023.90"
Manufacturing And Processing,"4,931.29",22.29,0.45,"67,840,722.70"
Microfinance Index,"4,265.68",30.23,0.71,"148,367,871.20"
Mutual Fund,13.16,0.00,0.03,"3,772,594.75"
Non Life Insurance,"7,437.15",27.83,0.38,"28,361,158.10"
Others Index,"1,505.58",34.04,2.31,"86,665,992.60"
Trading Index,"1,843.91",15.81,0.87,"3,169,167.00"
