Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,758.04",19.97,0.72,"10,541,746,564.07"
Sensitive Index,471.79,-1.50,-0.31,"3,687,439,314.50"
Float Index,186.15,0.32,0.17,"10,355,043,253.80"
Sensitive Float Index,156.20,-0.51,-0.32,"3,687,439,314.50"
Banking SubIndex,"1,461.97",-8.69,-0.59,"568,819,374.90"
Development Bank Index,"6,020.45",-105.81,-1.72,"1,906,784,598.50"
Finance Index,"3,460.76",-69.63,-1.97,"1,555,451,485.70"
Hotels And Tourism,"7,262.60",345.32,4.99,"416,879,682.00"
HydroPower Index,"3,560.35",22.19,0.62,"3,615,052,336.00"
Investment,106.26,0.64,0.60,"499,785,087.30"
Life Insurance,"13,639.50",255.76,1.91,"386,222,179.20"
Manufacturing And Processing,"6,799.69",10.70,0.15,"246,576,732.70"
Microfinance Index,"5,121.79",7.83,0.15,"610,487,655.70"
Mutual Fund,21.90,0.09,0.41,"42,682,598.97"
Non Life Insurance,"13,216.96",27.27,0.20,"314,863,727.40"
Others Index,"2,023.10",-7.44,-0.36,"172,429,131.80"
Trading Index,"5,060.58",447.74,9.70,"118,803,722.80"
