Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,520.69",12.49,0.83,"2,170,068,283.00"
Sensitive Index,301.38,1.71,0.57,"2,084,670,000.00"
Float Index,104.83,0.76,0.73,"2,120,250,000.00"
Sensitive Float Index,98.92,0.48,0.49,"1,734,690,000.00"
Banking SubIndex,"1,208.39",3.83,0.32,"313,037,000.00"
Development Bank Index,"1,762.05",15.70,0.90,"315,997,000.00"
Finance Index,681.54,2.24,0.33,"149,819,000.00"
Hotels And Tourism,"1,530.47",-1.13,-0.07,"5,409,560.00"
HydroPower Index,"1,103.38",2.31,0.21,"98,527,800.00"
Life Insurance,"9,536.04",204.53,2.19,"389,190,000.00"
Manufacturing And Processing,"3,083.46",33.22,1.09,"130,519,000.00"
Microfinance Index,"2,607.51",33.73,1.31,"305,948,000.00"
Mutual Fund,10.81,-0.02,-0.17,"2,957,290.00"
Non Life Insurance,"8,038.19",302.02,3.90,"866,179,000.00"
Others Index,"1,017.30",0.39,0.04,"338,236,000.00"
Trading Index,"1,033.36",-30.21,-2.84,"2,331,350.00"
