Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,875.97",-0.62,-0.02,"7,050,770,070.00"
Sensitive Index,535.29,-1.53,-0.28,"7,328,720,000.00"
Float Index,201.23,0.02,0.01,"6,784,410,000.00"
Sensitive Float Index,179.75,-0.14,-0.08,"4,827,890,000.00"
Banking SubIndex,"1,932.23",-2.17,-0.11,"884,712,000.00"
Development Bank Index,"5,335.29",-12.01,-0.22,"1,109,800,000.00"
Finance Index,"2,817.92",-36.43,-1.28,"675,751,000.00"
Hotels And Tourism,"3,473.61",-3.31,-0.10,"34,270,600.00"
HydroPower Index,"3,354.66",62.75,1.91,"3,165,240,000.00"
Investment,101.53,0.17,0.17,"159,504,000.00"
Life Insurance,"16,182.49",59.38,0.37,"287,590,000.00"
Manufacturing And Processing,"6,642.87",-21.72,-0.33,"141,616,000.00"
Microfinance Index,"5,466.51",-17.88,-0.33,"514,922,000.00"
Mutual Fund,15.91,-0.16,-0.99,"51,966,300.00"
Non Life Insurance,"12,997.11",-6.35,-0.05,"540,323,000.00"
Others Index,"1,876.02",-22.51,-1.19,"236,986,000.00"
Trading Index,"3,358.80",0.60,0.02,"25,651,100.00"
