Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,017.97",-9.54,-0.47,"3,708,430,055.16"
Sensitive Index,358.09,-2.17,-0.60,"992,769,874.90"
Float Index,136.83,-0.75,-0.55,"3,621,037,254.00"
Sensitive Float Index,117.03,-0.78,-0.66,"984,610,579.90"
Banking SubIndex,"1,053.74",-5.79,-0.54,"178,294,172.00"
Development Bank Index,"4,121.78",-39.99,-0.96,"336,032,343.50"
Finance Index,"2,134.89",-8.15,-0.38,"374,216,862.20"
Hotels And Tourism,"5,128.97",-41.77,-0.80,"76,802,372.20"
HydroPower Index,"2,426.24",-19.64,-0.80,"880,987,842.30"
Investment,74.52,-0.52,-0.70,"132,424,293.00"
Life Insurance,"10,046.06",-19.18,-0.19,"205,036,895.40"
Manufacturing And Processing,"6,452.88",89.66,1.40,"279,261,434.50"
Microfinance Index,"4,369.37",-28.12,-0.63,"894,881,783.40"
Mutual Fund,18.26,0.03,0.17,"4,487,835.15"
Non Life Insurance,"10,710.33",-37.33,-0.34,"219,925,275.10"
Others Index,"1,607.93",-15.27,-0.94,"97,094,989.00"
Trading Index,"2,728.74",31.40,1.16,"13,173,366.60"
