Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,638.60",21.62,0.82,"4,232,407,613.55"
Sensitive Index,453.37,2.31,0.51,"1,304,694,874.90"
Float Index,181.57,1.40,0.78,"4,077,621,011.65"
Sensitive Float Index,154.58,0.90,0.59,"1,304,694,874.90"
Banking SubIndex,"1,358.68",4.12,0.30,"210,111,670.50"
Development Bank Index,"5,636.17",62.29,1.11,"120,616,645.00"
Finance Index,"2,433.79",15.54,0.64,"132,685,392.40"
Hotels And Tourism,"7,201.95",146.26,2.07,"104,199,248.70"
HydroPower Index,"3,470.25",43.68,1.27,"2,135,361,342.80"
Investment,103.34,0.63,0.61,"164,204,848.50"
Life Insurance,"12,606.93",88.85,0.70,"126,239,096.30"
Manufacturing And Processing,"9,143.00",158.30,1.76,"640,817,414.00"
Microfinance Index,"4,843.60",37.98,0.79,"166,401,963.05"
Mutual Fund,21.24,0.02,0.09,"4,161,454.41"
Non Life Insurance,"10,841.87",56.37,0.52,"59,565,830.20"
Others Index,"2,292.30",7.63,0.33,"201,234,672.20"
Trading Index,"3,658.23",53.71,1.49,"16,182,888.00"
