Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,633.76",10.87,0.41,"5,134,850,052.24"
Sensitive Index,456.73,1.42,0.31,"1,790,675,545.00"
Float Index,180.45,0.73,0.40,"5,057,156,262.90"
Sensitive Float Index,154.79,0.43,0.28,"1,790,675,545.00"
Banking SubIndex,"1,370.63",3.46,0.25,"372,435,372.70"
Development Bank Index,"5,491.68",24.71,0.45,"318,620,011.40"
Finance Index,"2,322.58",1.55,0.06,"220,383,653.50"
Hotels And Tourism,"6,950.92",63.76,0.92,"203,031,315.00"
HydroPower Index,"3,339.43",7.78,0.23,"2,171,029,452.70"
Investment,102.49,0.21,0.20,"143,563,291.00"
Life Insurance,"13,028.85",69.23,0.53,"281,920,095.70"
Manufacturing And Processing,"8,578.68",136.36,1.61,"522,998,390.10"
Microfinance Index,"4,924.62",15.90,0.32,"320,763,514.40"
Mutual Fund,20.68,0.09,0.47,"15,699,710.05"
Non Life Insurance,"10,994.86",41.29,0.37,"86,144,224.70"
Others Index,"2,368.44",8.17,0.34,"406,897,762.70"
Trading Index,"3,799.52",12.77,0.33,"9,369,179.00"
