Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,600.38",34.22,1.33,"7,513,938,473.44"
Sensitive Index,452.81,5.40,1.20,"2,706,727,166.70"
Float Index,178.23,2.37,1.35,"5,598,189,358.30"
Sensitive Float Index,153.98,1.93,1.27,"2,706,727,166.70"
Banking SubIndex,"1,370.18",4.59,0.33,"380,613,760.10"
Development Bank Index,"5,494.68",66.86,1.23,"274,506,310.80"
Finance Index,"2,243.01",35.36,1.60,"85,376,959.20"
Hotels And Tourism,"6,281.26",44.12,0.70,"98,006,935.00"
HydroPower Index,"3,370.81",87.77,2.67,"2,703,834,784.40"
Investment,105.30,1.40,1.35,"380,933,211.10"
Life Insurance,"12,775.16",226.60,1.80,"270,879,191.10"
Manufacturing And Processing,"7,253.52",124.21,1.74,"268,549,625.10"
Microfinance Index,"4,902.23",77.34,1.60,"471,788,040.30"
Mutual Fund,20.22,-0.03,-0.18,"9,021,808.65"
Non Life Insurance,"10,891.08",188.08,1.75,"125,774,930.80"
Others Index,"2,367.50",24.84,1.06,"529,128,128.40"
Trading Index,"3,837.27",33.82,0.88,"8,797,482.00"
