Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,111.21",58.55,2.85,"4,551,632,347.81"
Sensitive Index,375.13,10.60,2.90,"867,645,849.40"
Float Index,143.66,4.18,3.00,"4,532,383,755.60"
Sensitive Float Index,123.14,3.76,3.15,"859,824,242.60"
Banking SubIndex,"1,130.52",34.01,3.10,"255,767,078.00"
Development Bank Index,"4,061.62",86.48,2.17,"132,053,241.90"
Finance Index,"1,887.07",41.81,2.26,"210,229,684.80"
Hotels And Tourism,"5,416.75",205.00,3.93,"117,062,456.30"
HydroPower Index,"2,593.10",25.61,0.99,"1,061,959,141.50"
Investment,79.42,1.46,1.87,"244,007,215.10"
Life Insurance,"10,814.28",567.68,5.54,"630,645,118.30"
Manufacturing And Processing,"7,064.56",162.08,2.34,"828,558,023.80"
Microfinance Index,"3,927.42",189.07,5.05,"524,053,234.00"
Mutual Fund,18.30,0.28,1.55,"4,843,258.82"
Non Life Insurance,"11,074.13",338.64,3.15,"241,173,327.00"
Others Index,"1,755.85",28.27,1.63,"273,338,173.90"
Trading Index,"2,870.89",47.78,1.69,"13,537,061.00"
