Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,732.51",-1.94,-0.07,"2,278,173,660.05"
Sensitive Index,518.64,-0.02,0.00,"1,333,350,000.00"
Float Index,185.44,-0.20,-0.11,"2,264,390,000.00"
Sensitive Float Index,163.80,-0.17,-0.10,"2,088,980,000.00"
Banking SubIndex,"1,745.94",-0.07,0.00,"279,629,516.30"
Development Bank Index,"4,713.48",-20.30,-0.43,"119,609,666.30"
Finance Index,"2,314.96",-10.63,-0.46,"137,634,788.80"
Hotels And Tourism,"3,059.95",-9.70,-0.32,"6,036,863.40"
HydroPower Index,"3,268.83",2.59,0.08,"695,696,785.90"
Investment,91.24,-0.34,-0.37,"140,395,024.30"
Life Insurance,"15,075.10",-54.61,-0.36,"144,267,728.70"
Manufacturing And Processing,"6,858.19",0.11,0.00,"157,218,665.90"
Microfinance Index,"5,261.81",-4.47,-0.08,"351,771,551.70"
Mutual Fund,15.79,0.02,0.14,"5,328,412.26"
Non Life Insurance,"12,450.97",-6.20,-0.05,"110,282,394.40"
Others Index,"2,331.25",5.12,0.22,"116,332,013.20"
Trading Index,"2,913.32",12.33,0.43,"5,511,966.00"
