Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,317.11",-26.54,-1.98,"1,953,780,000.00"
Sensitive Index,283.53,-4.86,-1.69,"2,217,940,000.00"
Float Index,93.36,-1.86,-1.95,"1,953,780,000.00"
Sensitive Float Index,93.18,-1.49,-1.57,"1,776,980,000.00"
Banking SubIndex,"1,165.36",-15.88,-1.34,"619,801,000.00"
Development Bank Index,"1,794.92",-52.87,-2.86,"333,309,000.00"
Finance Index,677.84,-22.33,-3.19,"196,859,000.00"
Hotels And Tourism,"2,051.89",-64.09,-3.03,"20,806,700.00"
HydroPower Index,"1,038.56",-42.21,-3.91,"67,212,800.00"
Life Insurance,"6,949.35",-154.66,-2.18,"279,708,000.00"
Manufacturing And Processing,"2,497.84",-71.91,-2.80,"267,582,000.00"
Microfinance Index,"2,043.56",-57.88,-2.75,"223,986,000.00"
Mutual Fund,10.42,-0.18,-1.70,"4,840,110.00"
Non Life Insurance,"5,448.77",-116.31,-2.09,"530,936,000.00"
Others Index,683.73,-13.53,-1.94,"44,089,500.00"
Trading Index,805.81,-54.59,-6.34,"17,620,000.00"
