Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,693.06",17.44,0.65,"8,586,004,334.25"
Sensitive Index,461.20,4.23,0.92,"5,096,865,831.60"
Float Index,184.13,1.48,0.81,"8,478,260,715.00"
Sensitive Float Index,157.00,1.59,1.02,"5,096,865,831.60"
Banking SubIndex,"1,420.24",26.27,1.88,"1,129,108,002.30"
Development Bank Index,"5,569.95",71.28,1.29,"581,158,136.50"
Finance Index,"2,397.16",4.43,0.18,"88,218,495.50"
Hotels And Tourism,"6,788.62",54.93,0.81,"226,762,739.10"
HydroPower Index,"3,471.06",30.73,0.89,"4,723,406,139.50"
Investment,110.87,0.03,0.03,"404,564,849.80"
Life Insurance,"13,201.56",-32.56,-0.24,"442,779,970.30"
Manufacturing And Processing,"7,286.22",47.70,0.65,"156,392,741.00"
Microfinance Index,"4,831.23",-12.61,-0.26,"274,928,890.20"
Mutual Fund,19.14,0.02,0.11,"11,527,326.55"
Non Life Insurance,"12,411.32",-32.74,-0.26,"178,834,070.70"
Others Index,"2,342.08",-1.42,-0.06,"249,100,720.10"
Trading Index,"4,345.31",1.65,0.03,"23,005,960.00"
