Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,838.49",-28.31,-1.52,"1,159,448,411.71"
Sensitive Index,348.79,-4.24,-1.20,"405,377,361.10"
Float Index,128.52,-2.02,-1.55,"1,114,473,504.80"
Sensitive Float Index,115.84,-1.41,-1.20,"403,564,813.10"
Banking SubIndex,"1,187.81",-15.11,-1.26,"268,597,977.80"
Development Bank Index,"3,351.67",-61.52,-1.80,"65,403,946.90"
Finance Index,"1,545.94",-27.73,-1.76,"36,387,057.30"
Hotels And Tourism,"3,122.43",-43.04,-1.36,"13,166,292.90"
HydroPower Index,"2,408.03",-57.90,-2.35,"342,888,812.70"
Investment,62.39,-0.66,-1.05,"47,305,923.70"
Life Insurance,"9,191.26",-179.94,-1.92,"63,708,839.00"
Manufacturing And Processing,"4,249.87",-49.81,-1.16,"99,189,018.70"
Microfinance Index,"3,324.62",-44.35,-1.32,"73,287,081.60"
Mutual Fund,13.18,-0.10,-0.68,"1,395,467.79"
Non Life Insurance,"8,291.19",-153.36,-1.82,"71,382,929.90"
Others Index,"1,386.74",-17.03,-1.21,"31,500,103.30"
Trading Index,"2,072.62",-27.33,-1.30,"1,655,521.00"
