Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,851.09",19.70,0.69,"11,112,418,806.95"
Sensitive Index,484.84,3.26,0.67,"4,484,252,511.00"
Float Index,195.71,1.46,0.75,"10,933,824,092.00"
Sensitive Float Index,165.97,1.25,0.75,"4,484,252,511.00"
Banking SubIndex,"1,490.91",11.38,0.76,"1,194,961,484.90"
Development Bank Index,"6,165.15",55.45,0.90,"686,715,924.80"
Finance Index,"2,540.29",28.13,1.12,"229,185,267.10"
Hotels And Tourism,"7,572.53",75.04,1.00,"102,444,189.60"
HydroPower Index,"3,928.34",29.41,0.75,"5,670,646,079.90"
Investment,108.69,0.61,0.56,"623,328,582.50"
Life Insurance,"13,181.83",68.30,0.52,"249,284,152.00"
Manufacturing And Processing,"10,594.75",202.41,1.94,"1,025,471,771.90"
Microfinance Index,"5,061.10",26.00,0.51,"437,504,737.60"
Mutual Fund,21.96,-0.01,-0.07,"19,209,573.56"
Non Life Insurance,"11,470.35",87.61,0.76,"144,112,087.60"
Others Index,"2,292.41",-12.77,-0.55,"555,744,185.20"
Trading Index,"3,977.38",29.28,0.74,"14,425,628.90"
