Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,597.80",7.50,0.28,"2,870,096,911.41"
Sensitive Index,456.86,2.92,0.64,"1,350,984,588.60"
Float Index,178.57,0.61,0.34,"3,491,525,532.80"
Sensitive Float Index,154.43,0.93,0.60,"1,350,984,588.60"
Banking SubIndex,"1,426.16",8.81,0.62,"329,091,145.90"
Development Bank Index,"5,572.23",4.49,0.08,"259,806,756.10"
Finance Index,"2,365.50",-15.80,-0.66,"88,310,921.00"
Hotels And Tourism,"7,073.09",-6.66,-0.09,"73,678,430.40"
HydroPower Index,"3,537.30",-12.06,-0.34,"1,670,552,613.60"
Investment,95.14,0.12,0.12,"302,459,749.40"
Life Insurance,"11,938.24",30.60,0.25,"128,046,542.20"
Manufacturing And Processing,"10,145.50",-11.28,-0.11,"343,612,384.40"
Microfinance Index,"4,612.21",56.16,1.23,"172,557,049.20"
Mutual Fund,21.79,0.35,1.66,"8,072,981.76"
Non Life Insurance,"10,814.22",119.73,1.11,"49,093,472.30"
Others Index,"1,898.24",5.88,0.31,"73,779,622.30"
Trading Index,"3,301.50",10.65,0.32,"536,846.00"
