Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,439.06",7.53,0.53,"1,320,266,678.00"
Sensitive Index,300.95,0.46,0.15,"1,122,380,000.00"
Float Index,100.99,0.49,0.49,"1,304,170,000.00"
Sensitive Float Index,99.35,0.19,0.19,"975,562,000.00"
Banking SubIndex,"1,238.53",5.03,0.41,"399,293,000.00"
Development Bank Index,"1,807.03",0.92,0.05,"217,425,000.00"
Finance Index,671.86,5.95,0.89,"82,559,700.00"
Hotels And Tourism,"1,589.54",13.88,0.88,"5,616,580.00"
HydroPower Index,968.90,7.42,0.77,"53,221,700.00"
Life Insurance,"8,616.63",55.49,0.65,"156,386,000.00"
Manufacturing And Processing,"2,783.03",27.18,0.99,"48,280,100.00"
Microfinance Index,"2,448.00",15.02,0.62,"204,824,000.00"
Mutual Fund,10.61,0.07,0.66,"3,655,820.00"
Non Life Insurance,"6,576.59",50.46,0.77,"300,576,000.00"
Others Index,810.54,4.70,0.58,"248,629,000.00"
Trading Index,850.52,3.69,0.44,"562,340.00"
