Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,594.87",-12.50,-0.47,"4,007,455,076.99"
Sensitive Index,445.50,-0.79,-0.17,"1,424,148,361.80"
Float Index,177.28,-0.77,-0.43,"3,685,864,382.31"
Sensitive Float Index,150.96,-0.30,-0.20,"1,424,148,361.80"
Banking SubIndex,"1,336.95",0.64,0.04,"353,146,039.30"
Development Bank Index,"5,328.07",-18.59,-0.34,"158,691,977.30"
Finance Index,"2,269.29",-16.57,-0.72,"134,552,263.30"
Hotels And Tourism,"6,900.46",-61.52,-0.88,"124,193,149.00"
HydroPower Index,"3,329.78",-31.38,-0.93,"1,542,027,923.31"
Investment,102.27,-0.69,-0.67,"166,168,596.50"
Life Insurance,"13,139.75",-115.65,-0.87,"255,470,569.50"
Manufacturing And Processing,"8,189.90",-59.22,-0.71,"312,144,810.20"
Microfinance Index,"4,882.33",-12.68,-0.25,"295,963,638.30"
Mutual Fund,20.20,0.10,0.51,"9,978,937.59"
Non Life Insurance,"10,766.07",-36.45,-0.33,"81,719,291.50"
Others Index,"2,323.70",-10.67,-0.45,"248,518,453.20"
Trading Index,"3,772.72",-22.58,-0.59,"13,267,670.90"
