Index,Current,Point Change,% Change,Turnover
NEPSE Index,"3,085.07",4.06,0.13,"10,983,599,094.00"
Sensitive Index,572.46,0.30,0.05,"10,946,700,000.00"
Float Index,214.92,0.23,0.11,"10,858,500,000.00"
Sensitive Float Index,191.19,0.18,0.09,"7,246,450,000.00"
Banking SubIndex,"2,096.01",1.91,0.09,"1,458,090,000.00"
Development Bank Index,"4,850.02",-61.51,-1.25,"2,490,350,000.00"
Finance Index,"2,663.38",9.00,0.34,"1,387,790,000.00"
Hotels And Tourism,"3,791.29",-57.17,-1.49,"72,132,400.00"
HydroPower Index,"3,274.38",-18.30,-0.56,"3,938,910,000.00"
Investment,117.08,1.96,1.70,"610,203,000.00"
Life Insurance,"17,969.79",-90.57,-0.50,"338,463,000.00"
Manufacturing And Processing,"6,727.92",41.85,0.63,"178,851,000.00"
Microfinance Index,"5,761.04",124.93,2.22,"1,995,890,000.00"
Mutual Fund,17.72,-0.18,-0.99,"95,118,800.00"
Non Life Insurance,"14,730.76",-89.12,-0.60,"882,691,000.00"
Others Index,"2,152.50",-17.41,-0.80,"739,140,000.00"
Trading Index,"4,099.90",-48.11,-1.16,"27,746,500.00"
