Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,892.72",21.76,0.75,"16,327,115,238.99"
Sensitive Index,502.49,4.46,0.89,"7,867,665,510.80"
Float Index,199.49,1.60,0.81,"16,103,444,184.40"
Sensitive Float Index,172.06,1.68,0.99,"7,867,665,510.80"
Banking SubIndex,"1,529.22",7.30,0.48,"1,495,251,702.60"
Development Bank Index,"6,138.79",86.12,1.42,"2,478,890,570.20"
Finance Index,"2,583.58",0.23,0.00,"478,093,516.50"
Hotels And Tourism,"7,239.35",21.79,0.30,"497,986,397.00"
HydroPower Index,"3,759.22",17.29,0.46,"5,306,063,370.60"
Investment,117.26,0.43,0.37,"607,003,943.20"
Life Insurance,"13,889.21",3.37,0.02,"495,142,233.20"
Manufacturing And Processing,"7,514.68",28.04,0.37,"564,403,906.50"
Microfinance Index,"5,442.55",103.10,1.93,"2,024,127,381.50"
Mutual Fund,20.35,0.03,0.19,"59,198,854.09"
Non Life Insurance,"13,362.67",168.16,1.27,"509,519,753.90"
Others Index,"2,603.10",47.19,1.84,"1,613,737,868.30"
Trading Index,"4,218.20",18.22,0.43,"33,223,540.90"
