Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,678.17",25.07,0.94,"10,160,981,076.17"
Sensitive Index,456.77,5.05,1.11,"5,570,108,579.62"
Float Index,182.67,1.68,0.92,"9,541,999,270.87"
Sensitive Float Index,155.32,1.52,0.99,"5,570,108,579.62"
Banking SubIndex,"1,368.66",12.67,0.93,"523,166,261.00"
Development Bank Index,"5,512.63",39.32,0.71,"361,034,374.30"
Finance Index,"2,465.53",120.29,5.12,"371,503,176.40"
Hotels And Tourism,"6,816.17",86.47,1.28,"226,729,834.90"
HydroPower Index,"3,592.06",16.56,0.46,"5,256,384,225.40"
Investment,113.85,0.77,0.68,"1,067,800,978.62"
Life Insurance,"13,023.53",139.57,1.08,"333,166,620.55"
Manufacturing And Processing,"7,158.02",17.90,0.25,"231,145,285.10"
Microfinance Index,"4,723.09",28.66,0.61,"220,968,806.00"
Mutual Fund,19.23,0.04,0.23,"11,355,097.90"
Non Life Insurance,"12,297.35",153.32,1.26,"172,210,923.60"
Others Index,"2,372.49",35.45,1.51,"765,945,571.90"
Trading Index,"4,271.55",45.25,1.07,"11,943,213.10"
