Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,581.60",5.10,0.19,"3,597,445,334.37"
Sensitive Index,444.12,-0.58,-0.13,"1,114,649,472.90"
Float Index,174.79,0.16,0.09,"3,516,353,614.50"
Sensitive Float Index,147.83,-0.17,-0.12,"1,114,649,472.90"
Banking SubIndex,"1,392.15",-10.18,-0.72,"344,254,481.10"
Development Bank Index,"5,164.35",85.69,1.68,"316,692,378.30"
Finance Index,"2,891.12",107.78,3.87,"513,580,667.80"
Hotels And Tourism,"6,359.39",59.98,0.95,"32,310,424.50"
HydroPower Index,"3,416.71",41.99,1.24,"1,138,252,935.50"
Investment,98.77,0.09,0.09,"343,183,196.70"
Life Insurance,"12,354.85",-8.25,-0.06,"95,377,860.90"
Manufacturing And Processing,"6,677.11",16.92,0.25,"105,810,100.50"
Microfinance Index,"4,899.76",-7.95,-0.16,"362,167,519.80"
Mutual Fund,20.23,-0.03,-0.17,"27,983,819.77"
Non Life Insurance,"12,354.03",28.18,0.22,"148,594,616.40"
Others Index,"1,939.44",-8.13,-0.41,"117,595,373.40"
Trading Index,"4,559.84",28.85,0.63,"10,537,031.80"
