Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,091.39",-2.94,-0.14,"4,740,608,880.28"
Sensitive Index,392.38,1.82,0.47,"1,481,459,200.60"
Float Index,144.65,-0.56,-0.39,"4,560,727,399.60"
Sensitive Float Index,128.67,0.19,0.15,"1,475,321,538.90"
Banking SubIndex,"1,224.61",-8.32,-0.67,"310,868,623.90"
Development Bank Index,"3,892.54",131.37,3.49,"373,878,284.50"
Finance Index,"1,812.63",89.90,5.22,"401,514,118.10"
Hotels And Tourism,"4,996.88",-81.86,-1.61,"260,939,236.80"
HydroPower Index,"2,653.96",-19.80,-0.74,"982,079,942.10"
Investment,74.84,2.23,3.08,"274,846,122.70"
Life Insurance,"11,381.94",-193.80,-1.67,"503,925,062.70"
Manufacturing And Processing,"5,478.32",-52.54,-0.95,"430,760,659.10"
Microfinance Index,"3,877.75",-29.13,-0.75,"224,762,937.90"
Mutual Fund,14.66,0.46,3.23,"11,543,221.75"
Non Life Insurance,"10,923.98",-277.25,-2.48,"539,056,053.30"
Others Index,"1,557.82",33.13,2.17,"243,575,569.40"
Trading Index,"2,613.92",-12.08,-0.46,"14,520,789.10"
