Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,010.21",-1.85,-0.09,"2,291,645,585.48"
Sensitive Index,356.20,0.53,0.15,"410,617,617.00"
Float Index,135.92,-0.12,-0.08,"2,101,319,853.00"
Sensitive Float Index,116.31,0.18,0.16,"396,290,065.40"
Banking SubIndex,"1,058.51",-2.00,-0.18,"138,131,478.70"
Development Bank Index,"3,907.79",-6.52,-0.16,"94,498,622.90"
Finance Index,"1,903.57",0.74,0.03,"206,413,447.60"
Hotels And Tourism,"5,168.66",-29.80,-0.57,"114,138,180.10"
HydroPower Index,"2,459.57",-19.79,-0.79,"670,970,053.30"
Investment,75.50,0.03,0.04,"65,179,234.70"
Life Insurance,"10,128.35",19.79,0.19,"149,401,616.90"
Manufacturing And Processing,"6,959.34",-23.62,-0.33,"244,396,879.40"
Microfinance Index,"3,910.34",72.57,1.89,"354,543,879.90"
Mutual Fund,18.26,0.05,0.30,"8,451,254.99"
Non Life Insurance,"10,405.46",-18.30,-0.17,"67,346,974.60"
Others Index,"1,658.80",-9.66,-0.57,"90,016,396.70"
Trading Index,"2,758.57",8.84,0.32,"2,011,593.00"
