Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,676.15",-12.84,-0.47,"5,629,945,822.09"
Sensitive Index,455.67,-1.36,-0.29,"1,957,600,463.60"
Float Index,180.30,-0.83,-0.45,"5,538,254,202.15"
Sensitive Float Index,150.83,-0.52,-0.34,"1,957,600,463.60"
Banking SubIndex,"1,406.85",-6.58,-0.46,"363,401,581.20"
Development Bank Index,"5,716.68",-39.50,-0.68,"500,405,028.90"
Finance Index,"3,311.18",5.18,0.15,"651,956,747.30"
Hotels And Tourism,"6,670.87",-55.96,-0.83,"68,040,276.80"
HydroPower Index,"3,524.99",-19.30,-0.54,"2,113,279,884.45"
Investment,104.22,0.78,0.76,"529,234,527.10"
Life Insurance,"13,109.52",-222.79,-1.67,"307,980,858.30"
Manufacturing And Processing,"6,774.93",71.56,1.06,"379,259,860.20"
Microfinance Index,"4,946.35",-30.38,-0.61,"352,030,120.90"
Mutual Fund,21.74,0.03,0.14,"12,403,463.44"
Non Life Insurance,"12,833.11",-151.20,-1.16,"152,079,349.10"
Others Index,"1,989.63",2.23,0.11,"117,054,791.80"
Trading Index,"4,901.15",-64.94,-1.30,"30,283,053.40"
