Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,392.68",11.31,0.82,"977,895,525.00"
Sensitive Index,291.02,1.46,0.50,"776,799,000.00"
Float Index,97.54,0.83,0.86,"937,268,000.00"
Sensitive Float Index,95.58,0.42,0.44,"678,197,000.00"
Banking SubIndex,"1,187.83",7.92,0.67,"306,645,000.00"
Development Bank Index,"1,746.27",7.67,0.44,"131,515,000.00"
Finance Index,661.39,7.11,1.09,"68,166,000.00"
Hotels And Tourism,"1,496.46",-27.47,-1.80,"2,504,190.00"
HydroPower Index,946.88,3.05,0.32,"22,875,400.00"
Life Insurance,"8,409.29",129.56,1.56,"120,746,000.00"
Manufacturing And Processing,"2,707.94",15.27,0.57,"25,664,600.00"
Microfinance Index,"2,362.33",14.58,0.62,"135,730,000.00"
Mutual Fund,10.61,0.21,2.02,"8,379,840.00"
Non Life Insurance,"6,410.35",103.48,1.64,"296,285,000.00"
Others Index,804.45,9.56,1.20,"107,769,000.00"
Trading Index,843.92,11.88,1.43,"1,985,800.00"
