Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,350.42",-18.64,-0.79,"2,328,434,272.92"
Sensitive Index,453.96,-2.70,-0.59,"2,130,400,000.00"
Float Index,160.69,-1.52,-0.94,"2,269,750,000.00"
Sensitive Float Index,145.24,-1.23,-0.84,"1,386,320,000.00"
Banking SubIndex,"1,591.16",-1.73,-0.11,"266,909,221.20"
Development Bank Index,"4,079.87",-89.02,-2.14,"160,854,752.80"
Finance Index,"1,771.53",-9.90,-0.56,"150,241,247.50"
Hotels And Tourism,"2,989.81",-34.77,-1.15,"25,447,773.50"
HydroPower Index,"2,701.32",-53.72,-1.95,"777,819,445.40"
Investment,76.73,-1.37,-1.76,"94,015,407.70"
Life Insurance,"11,897.69",-257.14,-2.12,"298,470,211.20"
Manufacturing And Processing,"5,574.34",80.25,1.46,"161,984,377.30"
Microfinance Index,"4,803.94",-74.57,-1.53,"178,836,756.60"
Mutual Fund,15.42,-0.18,-1.16,"3,994,252.97"
Non Life Insurance,"10,357.81",-83.38,-0.80,"78,719,758.60"
Others Index,"1,824.20",7.39,0.41,"64,781,478.30"
Trading Index,"2,066.00",-29.56,-1.41,"11,671,049.90"
