Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,660.02",-14.45,-0.54,"4,418,607,486.62"
Sensitive Index,458.88,-2.60,-0.56,"1,348,337,220.20"
Float Index,182.07,-0.96,-0.52,"4,315,476,421.00"
Sensitive Float Index,155.40,-0.80,-0.51,"1,348,337,220.20"
Banking SubIndex,"1,419.90",-6.96,-0.48,"406,180,836.60"
Development Bank Index,"5,661.12",-32.55,-0.57,"262,008,837.90"
Finance Index,"2,462.71",4.72,0.19,"315,222,709.30"
Hotels And Tourism,"7,464.22",-47.09,-0.62,"131,390,150.10"
HydroPower Index,"3,701.31",-23.46,-0.62,"1,892,314,957.70"
Investment,98.59,-0.31,-0.32,"200,478,428.50"
Life Insurance,"12,181.89",-57.50,-0.46,"144,907,940.60"
Manufacturing And Processing,"10,723.50",-119.82,-1.10,"579,475,458.70"
Microfinance Index,"4,700.11",-18.09,-0.38,"180,713,049.80"
Mutual Fund,21.65,-0.09,-0.44,"14,621,657.82"
Non Life Insurance,"10,863.36",-71.02,-0.64,"52,485,076.90"
Others Index,"1,942.39",-20.02,-1.02,"146,246,352.90"
Trading Index,"3,398.71",27.33,0.81,"4,052,622.00"
