Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,641.06",-9.02,-0.34,"3,674,419,766.29"
Sensitive Index,461.36,-2.20,-0.47,"1,180,023,424.10"
Float Index,181.18,-0.61,-0.33,"3,599,232,616.80"
Sensitive Float Index,156.17,-0.72,-0.46,"1,180,023,424.10"
Banking SubIndex,"1,449.97",-10.65,-0.72,"338,900,185.10"
Development Bank Index,"5,591.18",-7.20,-0.12,"305,062,449.20"
Finance Index,"2,388.14",-9.88,-0.41,"129,083,489.70"
Hotels And Tourism,"7,237.95",-51.48,-0.70,"70,513,319.50"
HydroPower Index,"3,732.60",2.63,0.07,"1,859,294,865.60"
Investment,96.50,-0.58,-0.60,"102,987,955.10"
Life Insurance,"11,754.32",-73.96,-0.62,"94,360,755.50"
Manufacturing And Processing,"10,406.87",12.74,0.12,"370,673,050.30"
Microfinance Index,"4,571.78",9.01,0.19,"227,847,294.30"
Mutual Fund,20.97,-0.10,-0.48,"34,848,005.91"
Non Life Insurance,"10,609.77",2.58,0.02,"338,900,185.10"
Others Index,"1,916.58",-8.61,-0.44,"59,867,598.00"
Trading Index,"3,358.70",-29.19,-0.86,"2,067,539.00"
