Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,699.66",31.48,1.17,"3,062,337,799.23"
Sensitive Index,486.29,5.90,1.23,"1,056,277,349.60"
Float Index,186.50,2.44,1.32,"3,016,235,231.10"
Sensitive Float Index,161.08,2.03,1.27,"1,056,277,349.60"
Banking SubIndex,"1,570.64",24.61,1.59,"464,070,201.50"
Development Bank Index,"5,346.63",82.49,1.56,"129,164,021.90"
Finance Index,"3,390.34",149.61,4.61,"698,257,905.90"
Hotels And Tourism,"6,672.45",53.03,0.80,"130,300,722.10"
HydroPower Index,"3,245.33",23.48,0.72,"779,978,214.50"
Investment,108.17,1.61,1.52,"254,289,983.70"
Life Insurance,"13,166.34",130.38,1.00,"100,702,659.80"
Manufacturing And Processing,"7,089.50",-15.64,-0.22,"90,711,372.20"
Microfinance Index,"5,007.82",36.05,0.72,"139,057,190.80"
Mutual Fund,20.81,0.04,0.23,"5,274,413.54"
Non Life Insurance,"13,016.39",66.34,0.51,"57,322,196.60"
Others Index,"2,102.72",25.22,1.21,"169,552,986.30"
Trading Index,"3,606.37",62.55,1.76,"15,405,274.20"
