Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,260.75",72.05,6.06,"227,212,194.00"
Sensitive Index,271.92,15.63,6.10,"252,282,000.00"
Float Index,88.86,5.33,6.38,"215,619,000.00"
Sensitive Float Index,88.75,5.14,6.15,"197,261,000.00"
Banking SubIndex,"1,090.00",73.72,7.25,"52,980,700.00"
Development Bank Index,"1,690.33",65.65,4.04,"45,469,000.00"
Finance Index,630.11,4.97,0.80,"11,359,200.00"
Hotels And Tourism,"1,482.41",-47.84,-3.13,"94,159.00"
HydroPower Index,926.10,39.77,4.49,"10,048,900.00"
Life Insurance,"7,382.04",634.97,9.41,"45,775,800.00"
Manufacturing And Processing,"2,615.80",122.17,4.90,"49,068,900.00"
Microfinance Index,"2,046.62",77.70,3.95,"37,361,300.00"
Mutual Fund,9.59,-0.04,-0.42,"49,796.00"
Non Life Insurance,"5,336.94",296.15,5.88,"55,619,200.00"
Others Index,685.79,23.97,3.62,"10,243,000.00"
Trading Index,856.12,65.73,8.32,"890,683.00"
