Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,570.81",-6.68,-0.26,"3,627,799,935.00"
Sensitive Index,484.98,-1.28,-0.26,"3,766,740,000.00"
Float Index,180.20,-0.68,-0.38,"3,510,780,000.00"
Sensitive Float Index,163.37,-0.80,-0.49,"2,578,510,000.00"
Banking SubIndex,"1,836.57",3.88,-0.21,"854,171,000.00"
Development Bank Index,"4,522.42",-86.40,-1.87,"689,319,000.00"
Finance Index,"2,093.23",-52.93,-2.47,"317,424,000.00"
Hotels And Tourism,"2,999.70",12.80,0.43,"20,677,900.00"
HydroPower Index,"2,641.94",-65.08,-2.40,"1,010,700,000.00"
Investment,82.98,-0.64,-0.77,"107,497,000.00"
Life Insurance,"14,301.83",5.62,0.04,"160,968,000.00"
Manufacturing And Processing,"6,151.25",-32.43,-0.52,"128,269,000.00"
Microfinance Index,"4,965.19",72.00,1.47,"458,374,000.00"
Mutual Fund,14.76,-0.10,-0.66,"10,502,500.00"
Non Life Insurance,"11,333.59",-13.17,-0.12,"289,738,000.00"
Others Index,"1,691.10",21.61,1.29,"173,479,000.00"
Trading Index,"3,050.77",-20.79,-0.68,"10,292,100.00"
