Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,071.77",5.60,0.27,"4,187,796,833.89"
Sensitive Index,365.02,0.20,0.05,"1,127,519,828.20"
Float Index,140.24,0.18,0.13,"4,155,330,222.50"
Sensitive Float Index,119.50,-0.16,-0.14,"1,118,773,631.50"
Banking SubIndex,"1,081.49",-5.07,-0.46,"196,496,975.20"
Development Bank Index,"4,090.02",13.08,0.32,"257,220,627.70"
Finance Index,"2,467.40",-54.22,-2.15,"788,324,256.00"
Hotels And Tourism,"5,302.47",58.81,1.12,"73,609,077.00"
HydroPower Index,"2,610.53",30.45,1.18,"1,341,905,810.50"
Investment,76.62,1.28,1.70,"310,632,803.80"
Life Insurance,"9,978.87",55.05,0.55,"109,606,052.60"
Manufacturing And Processing,"6,438.64",25.25,0.39,"184,802,610.10"
Microfinance Index,"4,593.10",15.80,0.34,"691,684,739.80"
Mutual Fund,18.91,0.08,0.42,"4,709,281.89"
Non Life Insurance,"10,528.01",-23.45,-0.22,"98,784,557.50"
Others Index,"1,597.12",-0.28,-0.01,"104,519,700.10"
Trading Index,"2,867.89",-5.42,-0.18,"14,716,268.50"
