Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,631.25",-19.72,-0.74,"2,570,401,188.08"
Sensitive Index,497.39,-5.20,-1.03,"2,502,990,000.00"
Float Index,178.76,-1.10,-0.61,"2,541,110,000.00"
Sensitive Float Index,157.77,-1.02,-0.64,"1,840,570,000.00"
Banking SubIndex,"1,697.54",-11.80,-0.69,"314,639,874.80"
Development Bank Index,"4,592.81",-59.66,-1.28,"266,721,386.50"
Finance Index,"2,200.02",-24.89,-1.12,"110,899,740.60"
Hotels And Tourism,"3,258.57",66.66,2.09,"113,516,668.30"
HydroPower Index,"3,080.62",-33.11,-1.06,"604,599,434.60"
Investment,86.59,-0.51,-0.58,"149,591,410.10"
Life Insurance,"14,416.55",-57.07,-0.39,"281,643,845.10"
Manufacturing And Processing,"6,278.96",-44.62,-0.71,"117,977,860.20"
Microfinance Index,"5,066.83",-9.27,-0.18,"147,081,599.60"
Mutual Fund,15.62,0.00,0.02,"3,659,332.09"
Non Life Insurance,"12,183.47",77.23,0.64,"217,775,607.60"
Others Index,"2,251.57",-57.13,-2.47,"211,042,895.20"
Trading Index,"2,558.04",-36.80,-1.42,"5,620,221.00"
