Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,836.17",-40.57,-1.41,"5,836,414,510.47"
Sensitive Index,532.28,-7.73,-1.43,"5,992,180,000.00"
Float Index,194.17,-2.80,-1.42,"5,802,960,000.00"
Sensitive Float Index,171.08,-2.48,-1.43,"3,561,360,000.00"
Banking SubIndex,"1,815.91",-19.01,-1.04,"459,938,364.10"
Development Bank Index,"4,986.00",-99.90,-1.96,"297,417,559.90"
Finance Index,"2,447.95",-60.55,-2.41,"267,458,139.00"
Hotels And Tourism,"3,153.79",-18.67,-0.59,"18,296,599.70"
HydroPower Index,"3,486.79",-39.71,-1.13,"2,595,532,369.20"
Investment,95.57,-1.27,-1.31,"460,508,702.80"
Life Insurance,"15,682.16",-580.59,-3.57,"663,933,937.90"
Manufacturing And Processing,"7,242.33",-59.94,-0.82,"93,100,665.00"
Microfinance Index,"5,460.89",-82.27,-1.48,"373,144,150.60"
Mutual Fund,16.00,-0.06,-0.37,"11,273,095.27"
Non Life Insurance,"13,089.27",-131.41,-0.99,"387,784,600.10"
Others Index,"2,248.03",-38.31,-1.68,"177,053,890.10"
Trading Index,"2,987.72",-50.42,-1.66,"8,791,102.40"
