Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,200.88",-34.21,-1.53,"1,369,513,191.50"
Sensitive Index,429.05,-5.69,-1.31,"1,287,440,000.00"
Float Index,150.41,-2.46,-1.61,"1,344,170,000.00"
Sensitive Float Index,136.98,-2.03,-1.46,"915,391,000.00"
Banking SubIndex,"1,525.82",-17.96,-1.16,"250,764,448.90"
Development Bank Index,"3,779.79",-75.92,-1.97,"89,101,851.50"
Finance Index,"1,598.38",-33.32,-2.04,"47,333,301.90"
Hotels And Tourism,"2,822.10",-70.69,-2.44,"11,637,260.10"
HydroPower Index,"2,504.57",-53.09,-2.08,"350,648,404.90"
Investment,71.69,-1.47,-2.01,"79,381,722.70"
Life Insurance,"10,625.26",-285.88,-2.62,"135,916,665.40"
Manufacturing And Processing,"5,296.88",-72.44,-1.35,"60,378,641.30"
Microfinance Index,"4,511.48",-84.78,-1.84,"177,764,080.50"
Mutual Fund,15.18,-0.14,-0.92,"10,748,628.60"
Non Life Insurance,"9,384.98",-163.79,-1.72,"92,862,278.70"
Others Index,"1,670.14",-4.01,-0.24,"42,538,019.40"
Trading Index,"1,907.47",-21.85,-1.13,"5,844,637.00"
