Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,182.31",16.10,1.38,"712,425,827.00"
Sensitive Index,255.69,3.51,1.39,"717,011,000.00"
Float Index,87.71,1.30,1.50,"707,960,000.00"
Sensitive Float Index,83.00,1.32,1.62,"586,723,000.00"
Banking SubIndex,"1,052.75",16.74,1.62,"211,739,000.00"
Development Bank Index,"1,609.93",19.36,1.22,"213,473,000.00"
Finance Index,573.33,3.86,0.68,"58,521,000.00"
Hotels And Tourism,"1,931.63",10.64,0.55,"9,603,300.00"
HydroPower Index,943.21,8.68,0.93,"27,263,400.00"
Life Insurance,"5,946.26",83.68,1.43,"63,193,400.00"
Manufacturing And Processing,"2,414.72",2.39,0.10,"81,256,200.00"
Microfinance Index,"1,719.72",40.24,2.40,"194,252,000.00"
Mutual Fund,9.30,0.02,0.22,"431,441.00"
Non Life Insurance,"4,583.47",59.29,1.31,"97,351,100.00"
Others Index,654.47,2.76,0.42,"27,019,900.00"
Trading Index,689.11,6.34,0.93,"6,356,940.00"
