Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,498.53",-14.88,-0.59,"1,584,671,562.02"
Sensitive Index,466.55,-2.46,-0.53,"1,429,010,000.00"
Float Index,169.87,-0.97,-0.57,"1,572,810,000.00"
Sensitive Float Index,148.86,-0.67,-0.45,"1,072,150,000.00"
Banking SubIndex,"1,630.13",-4.16,-0.25,"290,759,874.70"
Development Bank Index,"4,304.54",-24.58,-0.57,"99,417,065.50"
Finance Index,"1,982.57",-13.65,-0.68,"66,357,733.80"
Hotels And Tourism,"3,035.92",-22.36,-0.73,"13,026,137.40"
HydroPower Index,"2,909.70",-22.46,-0.77,"338,372,609.60"
Investment,84.51,-0.41,-0.49,"141,629,888.50"
Life Insurance,"13,943.52",-117.45,-0.84,"182,772,189.60"
Manufacturing And Processing,"5,882.25",-15.34,-0.26,"62,783,010.10"
Microfinance Index,"4,900.40",-22.11,-0.45,"143,455,873.00"
Mutual Fund,15.59,-0.02,-0.11,"4,249,982.52"
Non Life Insurance,"11,873.92",-200.13,-1.66,"176,588,178.90"
Others Index,"1,967.37",-20.60,-1.04,"54,075,325.10"
Trading Index,"2,372.13",-32.19,-1.34,"3,569,684.00"
